NameDescription,PRODUCT CATEGORY,Cost,Sales Price,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sept 2021,Oct 2021,Nov 2021,Dec 2021,TOTAL,,
BL0678 (BL0678 ENAMEL BUCKET (28CM)),BUCKET, $	3.00 , $	4.65 , 	35.00 , 	42.00 , 	18.00 , 	30.00 , 	15.00 , 	35.00 , 	40.00 , 	-   , 	25.00 , 	25.00 , 	35.00 , 	-   , 	300.00 ,,
JD2011-8CM/P (JD2011-8CM ENAMEL MUG PLAIN COLOR 8cm ),MUG, $	1.90 , $	3.52 , 	-   , 	-   , 	(0.99), 	-   , 	90.00 , 	5.00 , 	-   , 	10.00 , 	4.00 , 	-   , 	-   , 	-   , 	108.01 ,,
JD2011-9CM/P JD2011-9CM  ENAMEL MUG PLAIN CUG COLOR ,MUG, $	2.20 , $	4.07 , 	-   , 	-   , 	(0.48), 	-   , 	55.00 , 	45.00 , 	-   , 	5.00 , 	5.00 , 	-   , 	3.00 , 	-   , 	112.53 ,,
JD2012-8CM/D (JD2012-8CM/D DECOR ENAMEL MUG  8cm),MUG, $	1.90 , $	3.52 , 	-   , 	-   , 	(0.80), 	-   , 	90.00 , 	35.00 , 	-   , 	25.00 , 	5.00 , 	-   , 	6.00 , 	-   , 	160.20 ,,
JD2012-9CM/D (JD2012-9CM DECOR ENAMEL MUG 9cm),MUG, $	2.20 , $	4.07 , 	-   , 	-   , 	-   , 	-   , 	160.00 , 	5.00 , 	-   , 	-   , 	3.00 , 	-   , 	-   , 	-   , 	168.00 ,,
LAK210 (LAK210 PLASTIC FLOWER MATERIEL(96PCS)),ACCESSORIES & DECOR, $	3.00 , $	5.55 , 	-   , 	-   , 	-   , 	-   , 	-   , 	28.00 , 	16.00 , 	-   , 	(8.00), 	-   , 	-   , 	46.00 , 	82.00 ,,
LAK211 (LAK211 PLASTIC FLOWER(96PCS)),ACCESSORIES & DECOR, $	3.00 , $	5.55 , 	-   , 	-   , 	79.00 , 	-   , 	-   , 	3.00 , 	-   , 	3.00 , 	2.00 , 	-   , 	5.00 , 	6.00 , 	98.00 ,,
LAK212 (LAK212 PLATIC FLOWER(96PCS)),ACCESSORIES & DECOR, $	3.00 , $	5.55 , 	-   , 	-   , 	98.00 , 	1.00 , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	100.00 ,,
LAK214 (LAK214 PLATIC FLOWER(240PCS)),ACCESSORIES & DECOR, $	2.80 , $	5.18 , 	-   , 	-   , 	-   , 	-   , 	-   , 	26.00 , 	25.00 , 	23.00 , 	12.00 , 	1.00 , 	11.00 , 	2.00 , 	100.00 ,,
LAK216 (LAK216 PLATIC FLOWER(96PCS)),ACCESSORIES & DECOR, $	3.00 , $	5.55 , 	-   , 	-   , 	6.00 , 	-   , 	-   , 	31.00 , 	21.00 , 	10.00 , 	12.00 , 	-   , 	20.00 , 	29.00 , 	129.00 ,,
LAK217 (LAK217 PLATIC FLOWER(96PCS)),ACCESSORIES & DECOR, $	3.00 , $	5.55 , 	-   , 	-   , 	-   , 	-   , 	-   , 	26.00 , 	18.00 , 	-   , 	(7.00), 	-   , 	42.00 , 	21.00 , 	100.00 ,,
LAK218 (LAK218 PLATIC FLOWER(240PCS)),ACCESSORIES & DECOR, $	2.80 , $	5.18 , 	-   , 	-   , 	-   , 	-   , 	-   , 	21.00 , 	21.00 , 	11.00 , 	(8.00), 	-   , 	27.00 , 	28.00 , 	100.00 ,,
LAK219 (LAK219 PLATIC FLOWER(240PCS)),ACCESSORIES & DECOR, $	2.90 , $	5.37 , 	-   , 	-   , 	1.00 , 	0.21 , 	2.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	3.21 ,,
12077 (12077 DOG SHAPED LUNCH BOX  0.73L (16 PCS)),PLASTIC FOOD CONTAINER, $	5.00 , $	9.50 , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	6.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	7.00 ,,
12081 (12081 BREAD SERVER (48 Pcs)),PLASTIC FOOD CONTAINER, $	5.00 , $	9.50 , 	-   , 	-   , 	-   , 	95.00 , 	-   , 	-   , 	-   , 	-   , 	26.00 , 	10.00 , 	-   , 	-   , 	131.00 ,,
12437 (12437 FOOD CONTAINER 3PCS (24SET/CTN)),PLASTIC FOOD CONTAINER, $	6.00 , $	11.40 , 	-   , 	-   , 	1.00 , 	2.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	3.00 ,,
12548 (12548 PLASTIC FOOD CONTAINER(144Pcss)),PLASTIC FOOD CONTAINER, $	7.00 , $	13.30 , 	20.00 , 	46.00 , 	15.00 , 	270.00 , 	45.00 , 	7.00 , 	130.00 , 	6.00 , 	24.00 , 	20.00 , 	-   , 	-   , 	583.00 ,,
